GAMMA C ACCURACY
  
3.0517578125e-05 0.03125 88.9665480073924
3.0517578125e-05 0.125 88.9665480073924
3.0517578125e-05 0.5 88.9665480073924
3.0517578125e-05 2 88.9665480073924
3.0517578125e-05 8 90.8965183632462
3.0517578125e-05 32 92.7923793458442
3.0517578125e-05 128 93.1359537600933
3.0517578125e-05 512 93.569452885653
3.0517578125e-05 2048 93.6562767448495
3.0517578125e-05 8192 93.6934869702194
3.0517578125e-05 32768 93.717053446287
0.0001220703125 0.03125 88.9665480073924
0.0001220703125 0.125 88.9665480073924
0.0001220703125 0.5 88.9665480073924
0.0001220703125 2 90.8958981928234
0.0001220703125 8 92.7923793458442
0.0001220703125 32 93.1365739305161
0.0001220703125 128 93.5663520335388
0.0001220703125 512 93.6556565744267
0.0001220703125 2048 93.6953474814879
  
0.0001220703125 32768 93.7443409448917
0.00048828125 0.03125 88.9665480073924
0.00048828125 0.125 88.9665480073924
0.00048828125 0.5 90.8890763181722
0.00048828125 2 92.7942398571127
0.00048828125 8 93.1371941009389
0.00048828125 32 93.5663520335388
0.00048828125 128 93.6568969152723
0.00048828125 512 93.7232551505154
0.00048828125 2048 93.7784503181474
  
  
0.001953125 0.03125 88.9665480073924
0.001953125 0.125 90.8462845589968
0.001953125 0.5 92.8004415613411
0.001953125 2 93.1409151234759
0.001953125 8 93.5700730560758
0.001953125 32 93.6748818575344
0.001953125 128 93.7964352604096
0.001953125 512 93.9105466182107
0.001953125 2048 94.0072932041725
0.001953125 8192 93.9440358210436
  
0.0078125 0.03125 90.6893814420203
0.0078125 0.125 92.7973407092269
0.0078125 0.5 93.1105267727572
0.0078125 2 93.5874378279151
0.0078125 8 93.7220148096697
0.0078125 32 93.9378341168153
0.0078125 128 94.0674497351872
0.0078125 512 93.9676022971112
0.0078125 2048 93.639532143433
0.0078125 8192 93.443558289818
  
0.03125 0.03125 91.9923595003907
0.03125 0.125 93.0578122868164
0.03125 0.5 93.5868176574923
0.03125 2 93.8516304280416
0.03125 8 94.097838085906
0.03125 32 94.0426429182739
0.03125 128 93.6773625392258
0.03125 512 93.4373565855897
0.03125 2048 93.4100690869851
0.03125 8192 93.4106892574079
0.03125 32768 93.4094489165623
0.125 0.03125 92.7706733810451
0.125 0.125 93.4224724954418
0.125 0.5 93.9105466182107
0.125 2 94.1083809830942
0.125 8 93.831784974511
0.125 32 93.5223199335177
0.125 128 93.4968929461816
0.125 512 93.4968929461816
0.125 2048 93.4975131166044
0.125 8192 93.4968929461816
0.125 32768 93.4968929461816
0.5 0.03125 90.5616263349168
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
---END---
