						
						
						
						
						
						
N?	N-í		dříví, hloží, kvítí, ořeší			
N-a	N-oví		krajkoví, lískoví, laťkoví			
N-	N-oví		stromoví, jilmoví			
N-o	N-oví		lanoví			
N?	N-oví		křoví			
N-a	sou-N-í		sousoší, souhvězdí			
N-o	sou-N-í		soukolí, sousloví			
N-	sou-N-í		soustrojí			
N?	N-ina		křovina, travina			
N?	N-inka		krvinka			
N?	N-ín		vojín, čeledín			
N-k	N-ček		svazeček, potůček			
N-c	N-ček		sameček, kopeček			
N-	N-ek		křížek			
N-anec	N-ánek		otrhánek			
N-	N-ík		kyblík, hadřík			
N-k	N-čík		parčík			
N-a	N-ík		Pepík			
N-í	N-ík		Jiřík			
N-ce	N-čka		ulička			
N-	N-ka		klícka			
N-a	N-ka		babka			
N-ka	N-čka		ručka			
N-	N-ko		plecko			
N-ko	N-čko		mlíčko, víčko			
N-o	N-ko		písmenko			
dítě	děcko					
N-ě	N-átko		hříbátko			
N-e	N-átko		ptáčátko			
N-ek	N-eček		hříbeček			
N-ec	N-eček		paleček			
N-	N-íček		chlebíček, hospodáříček			
N-ík	N-íček		kostelíček, balíček			
N-a	N-ička		chodbička			
N-	N-ička		věcička, básnička			
N-e	N-ička		šavlička, růžička			
N-ka	N-ička		rybička			
N-ůrka	N-ůrečka		šňůrečka			
N-ůstka	N-ůstečka		kůstečka			
N-ka	N-ečka		knížečka			
N-í	N-íčko		obilíčko			
N-ko	N-íčko		zrníčko			
očko	očičko					
N-o	N-ečko		hnízdečko, místečko			
N-	N-ánek		nosánek			
N-a	N-ínek		tatínek			
N?	N-ínek					
N-	N-áček		synáček			
N-e	N-enka		šavlenka			
N-a	N-inka		tetinka			
N-a	N-oušek		dědoušek			
N-a	N-uška		dceruška			
N?	N-isko		babisko, zubisko			
N-	N-ák		šutrák, Rusák			
N-a	N-izna		babizna			
N-a	N-ajzna		tlamajzna			
N-	N-as		lotras			
N-	N-oun		vrahoun			
N?	N-our		Němčour			
N?	N-nda		vojanda			
N-	arci-N-		arciblázen, arcibiskup			
N-	ultra-N-		ultrademokrat, ultrazvuk			
N-	pra-N-		pračeština, praotec			
N-	nad-N-		nadporučík			
N-	super-N-		supernova			
N-	pod-N-		podporučík, podprůměr, podtlak			
N-	sub-N-		subdivize			
N-	místo-N-		místopředseda			
N-	pro-N-		proděkan			
N-	vice-N-		vicepremiér			
N-	kontra-N-		kontraindikace			
N-	kontr-N-		kontradmirál			
N-	ex-N-		exministr, exmanžel			
N-	spolu-N-		spoluautor, spoluhráč			
N-	sou-N-		soudruh, souběh			
N-	kon-N-		kontext			
N-	syn-N-		synchronie			
N-	proti-N-		protihráč, protihodnota			
N-	anti-N-		antisemitismus			
N-	truc-N-		trucpodnik			
N-	rádoby-N-		rádobykonference			
A-	rádoby-A-		rádobyatraktivní			
N-	pa-N-		pavěda, paklíč, pakůň			
N-	kvazi-N-		kvaziparlament			
N-	kvasi-N-					
N-	quasi-N-					
N-	pseudo-N-		pseudokritik			
N-	lži-N-		lžibásník			
N-	ne-N-		nečlen, nekuřák, nepohodlí, nesvár, nestvůra			
N-	N-ec		dílec, smyčec			
N?	N-ice		krupice, matice, hlavice			
N?	N-iště		hrabiště, lučiště			
N?	N-oň		jabloň, madloň, broskvoň			
N-	N-enka		vstupenka			
N-a	N-enka		omluvenka			
N-í	N-ka		povolenka			
N-o	N-enka		místenka			
N?	N-enka					
N?	N-ěnka					
N?	N-ovné		cestovné			
N?	N-né		stravné			
						
A-ý	N-ec		blbec, usmrkanec			
A-í	N-ec		ryzec			
A-í	N-inec		kobylinec, mušinec			
A-ý	N-ík		hanebník			
A-í	N-ík		nočník			
A-ý	N-ník		makovník, pomerančovník			
A-í	N-ník		jestřábník			
A-í	N-ák		spacák			
A-ý	N-ák		chudák			
A-ový	N-ák		tenisák			
A-ní	N-ák		náklaďák, osobák			
A-atý	N-ák		paličák			
A-ěný	N-ák		slamák			
A-ský	N-ák		uherák			
A-atý	N-áč		nosáč			
A-ý	N-áč		pečenáč, uzenáč			
A-ý	N-ek		žloutek, svátek, mládek			
A-ejší	N-ejšek		dolejšek, včerejšek			
A-ý	N-ásek		bělásek, volňásek			
A-ný	N-a		mizera			
A-ý	N-án		dlouhán			
A-ý	N-ián		hrubián			
A-ý	N-oun		blboun, vztekloun, hezoun			
A-dný	N-ďas		kliďas			
A-tý	N-ťas		kruťas, kliďas			
A-ý	N-ouš		starouš			
A-ý	N-och		slaboch, staroch			
A-ý	N-ýš		měkkýš, hroznýš			
A-ý	N-an		dusičnan			
A-ový	N-ovka		koncovka, sodovka, křížovka			
A-ový	N-ůvka		močůvka, borůvka, jalůvka			
A-avý	N-avka		voňavka			
A-ivý	N-ivka		zářivka, prašivka			
A-atý	N-atka		závojnatka, břichatka			
A-ěný	N-ěnka		měděnka, drátěnka			
A-ní	N-enka		peněženka			
A-ný	N-enka		sněženka			
A-ský	N-ka		poděbradka			
A-ý	N-ka		veselka, zlatka			
suchý	souška					
A-ní	N-ka		plenárka, detektivka			
A-ý	N-ice		mladice			
A-ní	N-nice		beranice, krajnice			
A-ný	N-ice		prkenice			
A-ný	N-nice		houfnice			
A-ový	N-ovice		makovice			
A-aný	N-anice		šrábanice			
A-ový	N-nice		šachovnice, kulovnice			
olověný	olovnice					
A-ský	N-ština		arabština, čeština			
A-cký	N-čtina		řečtina			
lotyšský	lotyština					
valašský	valaština					
A-í	N-ina		rybina, jehněčina, třetina			
A-ový	N-ovina		lihovina, těstovina, želvovina			
A-vý	N-vina		trhavina			
A-ý	N-ina		holina, pevnina, mokřina, čtvrtina			
A-zký	N-žina		úžina, nížina			
A-ský	N-ina		kantořina			
A-lý	N-lina		zdechlina			
A-ý	N-ovina		blbovina			
A-í	N-ovina		slonovina			
račí	rakovina					
A-ý	N-ucha		černucha			
A-ý	N-ule		bledule			
A-ý	N-uška		světluška			
C-jí	N-če		dvojče			
C-rý	N-rče		paterče			
čtyři	čtyřče					
A-ý	N-ě		mládě			
A-ý	N-če		padavče			
A-ský	N-če		rajče			
A-ný	N-átko		drobátko			
A-ý	N-átko		holátko			
A-ní	N-ňátko		nedělňátko			
A-nný	N-ňátko		neviňátko			
A-hý	N-žátko		nebožátko			
A-	N-		SUBSTANTIVIZACE ADJEKTIV			PMČ? 137/8
A-ý	N-ost		mladost			
A-cký	N-čnost		kritičnost			
A-cí	N-cnost		budoucnost			
A-í	N-est		svěžest			
A-ský	N-ství		vyzvědačství			
A-cký	N-ctví		vlastenectví			
A-enecký	N-ství		obrozenství			
český	češství					
A-ý	N-ství		hrubství			
A-ný	N-ství		tajemství			
A-ný	N-stvo		smilstvo			
A-ský	N-stvo		svinstvo			
A-cký	N-čina		sedlačina			
A-rský	N-řina		taškařina			
A-ský	N-ina		lotrovina			
A-ní	N-ština		intelektuálština			
A-ský	N-ština		šturmovština			
A-ý	N-ota		slepota, teplota			
nic	nicota					
jedna	jednota					
sám	samota					
A-ý	N-oba		siroba, staroba, hniloba			
bílý	běloba					
hluboký	hloubka					
daleký	dálka					
široký	šířka					
vysoký	výška					
A?	N-ka					
A-ý	N-o		šero, dobro			
A-cký	N-čno		psychično			
A-ý	N-í		zdraví, vědomí, ostří			
A-ý	N-		šeď, zeleň, čerň			
N-alita	A-ální		vitální, legální			
N-anita	A-ánní		humánní			
N-ozita	A-ózní		viskózní			
N-ie	A-ní		synchronní, autonomní			
N-ie	A-ský		tyranský			
N-ika	A-ický		tragický			
N-ance	A-antní		elegantní, diskrepantní			
N-ence	A-enční		valenční			
N-ence	A-entní		koherentní			
V-t	N-tel		nositel			
V-ovávat	N-ovatel		vychovatel			
V-ět	N-itel		trpitel			
V-et	N-itel		velitel			
