V-ít	A-avší		začavší			
V-t	A-vší		strpěvší			
V-t	A-lý		zčervenalý, změkčilý			
V-nout	A-lý		ochablý			
V-ést	A-etlý		odkvetlý			
V-out	A-ulý		zesnulý			
V-t	A-vý		kodrcavý, váhavý, chlubivý			
V-át	A-avý		rvavý			
V-at	A-lavý		pichlavý, písklavý			
V-ět	A-lavý		stydlavý			
V-čet	A-klavý		křiklavý			
V-t	A-lavý		třaslavý			
V-it	A-kavý		lepkavý			
V-ět	A-kavý		vrtkavý			
V-et	A-ivý		utrácivý			
V-ět	A-ivý		šumivý			
V-ít	A-ivý		chtivý			
V-nout	A-livý		pohrdlivý, spolehlivý			
V-it	A-livý		škodlivý, smířlivý, strašlivý			
N-ání	A-anlivý		trvanlivý			
N-ání	A-ánlivý		zdánlivý			
N-í	A-livý		mlčenlivý, úpěnlivý, zdrženlivý			
V-at	A-ný		kočovný, bojovný			
V-it	A-ný		vábný			
V-ést	A-edný		dovedný			
V-ět	A-ný		trpný			
V-t	A-čný		vychloubačný, utrhačný			
V-át	A-ajícný		kajícný			
V-át	A-ejícný		přejícný			
V-át	A-ojatý		stojatý			
V-et	A-atý		ležatý			
V-ět	A-utý		smrdutý			
V-et	A-utý		visutý			
V-t	u-A-ný		upovídaný			
V-t	roze-A-tý		rozesmátý			
V-t	roz-A-ný		rozběhaný			
V-t	A-telný		ovládatelný			
V-out	A-utelný		prominutelný			
V-ět	A-itelný		srozumitelný			
V-et	A-itelný		slyšitelný			
V-it	A-elný		citelný			
V-mout	A-atelný		přijatelný			
V-ít	A-itný		pitný, rozbitný			
V-ýt	A-ycí		krycí, mycí			
V-ít	A-icí		šicí			
V-t	A-cí		lepicí			
V-át	A-ací		prací			
V-íst	A-ětací		hnětací			
V-éct	A-ečicí		pečicí			
V-ovat	A-ární		dokumentární			
V-ovat	A-abilní		rentabilní			
A-ý	A-ičký		mladičký			
A-ký	A-ičký		kratičký			
A-ý	A-oučký		mlaďoučký			
A-ký	A-oučký		lehoučký			
A-ý	A-inký		mladinký			
A-ký	A-inký		teninký			
A-ý	A-ounký		slabounký			
A-ký	A-ounký		slaďounký			
A-ičký	A-ičičký		maličičký			
A-inký	A-ilinký		malilinký			
A-ounký	A-oulinký		slaboulinký			
A-inký	A-inkatý		malinkatý			
A-ý	A-ánský		hlubokánský			
A-ánský	A-anánský		hlubokanánský			
A-vý	A-tánský		hrozitánský			
A-	vele-A-		velecenný			
A-	pra-A-		prabídný			
A-	prach-A		prachzvláštní			
A-	roz-A-		rozmilý			
A-	rozto-A-		roztomilý			
A-	pře-A-		překrásný			
A-ý	sebe-A-ější		sebekrásnější			
A-í	sebe-A-ější		sebekonkrétnější			
A-	ultra-A-		ultramoderní			
A-	super-A-		supermoderní			
A-	supra-A-		supraindividuální			
A-	hyper-A-		hyperaktivní			
A-ý	A-avý		šedavý			
A-ý	na-A-alý		nazelenalý			
A-ý	na-A-ělý		našpičatělý			
A-ý	na-A-lý		nachromlý			
A-ý	při-A-alý		přičervenalý			
A-ý	při-A-lý		přiblblý			
A-ý	za-A-alý		začervenalý			
A-ý	za-A-lý		zašedlý			
A-ý	za-A-ělý		zašpičatělý			
A-	polo-A-		pologramotný			
A-	kvazi-A-		kvazivědecký			
D-a	A-ejší		včerejší			
D-e	A-ější		dřívější			
D-ě	A-ější		vnější			
D-í	A-ější		nynější			
D-s	A-šní		dnešní			
D-y	A-ejší		tehdejší			
D-e	A-ejší		vedlejší			
D-i	A-ější		protější			
D-ky	A-eční		zpáteční			
D-	A-ní		dosavadní, akorátní			
D-ť	A-tní		zvláštní			
D-e	A-ní		dolní			
D-	A-ný		přílišný, vhodný, zpětný			
D-mo	A-mý		kradmý, letmý			
N-e	A-ivní		agresivní			
N-e	A-ívní		agresívní			
N-k	A-cký		cisterciácká, laický			
N-	A-ický		jambický			
N-a	A-ický		periodický			
N-a	A-atický		schematický			
