a	á		obraz - obrázek
á	a		nakládat - nakladač
é	e		chléb - chleba
e	é		
ý	y		být - bytost
y	ý		
í	i		žít - žití
i	í		list - lístek
ů	o		hnůj - hnojiště
o	ů		potok - potůček
u	ou		sud - soudek
e	í		střep - střípek
ě	í		květ - kvítek
é	í		chlév - chlívek
c	č		
d	ď		
h	ž		
s	š		
z	ž		
g	ž		
k	č		
n	ň		
r	ř		
t	ť		
ch	š		
			
TAKY VKLÁDÁNÍ HLÁSEK, VĚTŠINOU e: léčba - léčebna			
