V-it	N-ba	#VALUE!	léčba, prosba			
V-at	N-ba	#VALUE!	skladba, vazba			
A-ý	N-oba	#VALUE!	siroba, staroba, hniloba			
V-it	N-itba	#VALUE!	modlitba, ženitba			
N?	N-nda	#VALUE!	vojanda			
A-ý	N-ucha	#VALUE!	černucha			
V-át	N-ačka	#VALUE!	rvačka, sračka			
N-ka	N-ečka	#VALUE!	knížečka			
N-ůrka	N-ůrečka	#VALUE!	šňůrečka			
N-ůstka	N-ůstečka	#VALUE!	kůstečka			
N-a	N-ička	#VALUE!	chodbička			
N-	N-ička	#VALUE!	věcička, básnička			
N-e	N-ička	#VALUE!	šavlička, růžička			
N-ka	N-ička	#VALUE!	rybička			
N-ce	N-čka	#VALUE!	ulička			@
N-ka	N-čka	#VALUE!	ručka			
V-t	N-čka	#VALUE!	čistička, plácačka; lítačka, tancovačka, honička			
N-ik	N-ika	#VALUE!	metodika			
N-	N-ka	#VALUE!	vnučka, manželka, Srbka, uklízečka; klícka			@
N-a	N-ka	#VALUE!	penzistka, policistka; babka			@
N-í	N-ka	#VALUE!	povolenka			
A-ský	N-ka	#VALUE!	poděbradka			
A-ý	N-ka	#VALUE!	veselka, zlatka			
A-ní	N-ka	#VALUE!	plenárka, detektivka			
A?	N-ka	#VALUE!				
V-it	N-ka	#VALUE!	lapka, mluvka; vývěska; otočka; spojka; vykládka			
V-at	N-ka	#VALUE!	vyžírka; vynechávka, sbírka; škrabka, výhybka			
V-et	N-ka	#VALUE!	navážka; otáčka			
C-	N-ka	#VALUE!	pětka, šestka, padesátka			
N?	N-enka	#VALUE!	cukřenka			
N-e	N-enka	#VALUE!	šavlenka			
N-	N-enka	#VALUE!	vstupenka			
N-a	N-enka	#VALUE!	omluvenka			
N-o	N-enka	#VALUE!	místenka			
A-ní	N-enka	#VALUE!	peněženka			
A-ný	N-enka	#VALUE!	sněženka			
N-ě	N-ěnka	#VALUE!	hraběnka			
N?	N-ěnka	#VALUE!				
A-ěný	N-ěnka	#VALUE!	měděnka, drátěnka			
N?	N-inka	#VALUE!	krvinka			
N-a	N-inka	#VALUE!	tetinka			
N-k	N-řka	#VALUE!	básnířka			
N-a	N-uška	#VALUE!	dceruška			
A-ý	N-uška	#VALUE!	světluška			
A-atý	N-atka	#VALUE!	závojnatka, břichatka			
V-ít	N-itka	#VALUE!	bitka, pitka			
C-et	N-ítka	#VALUE!	dvacítka			
