zakončení substantiva	zakončení adjektiva	derivační typ	slova se změnou v kořeni	výjimky	derivační typ výjimky
rtnost	rtní	_^(*3í)		smrtnost, posmrtnost, nesmrtnost	_^(*3ý)
astnost	astný	_^(*3ý)		vlastnost, kontrastnost	_^(*3í)
estnost	estní	_^(*3í)		bolestnost, bezbolestnost, beztrestnost, trestnost, počestnost, mravopočestnost, zcestnost, scestnost, neřestnost, nečestnost, nepočestnost	_^(*3ý)
ěstnost	ěstný	_^(*3ý)			
istnost	istní	_^(*3í)		nenávistnost	_^(*3ý)
ístnost	ístný	_^(*3ý)		místnost	_^(*3í)
lstnost	lstný	_^(*3ý)			
ostnost	ostný	_^(*3ý)		celostnost, slavnostnost	_^(*3í)
ustnost	ustný	_^(*3ý)		robustnost	_^(*3í)
ůstnost	ůstný	_^(*3ý)			
ústnost	ústní	_^(*3í)			
štnost	štný	_^(*3ý)		zvláštnost	_^(*3í)
utnost	utný	_^(*3ý)		rezolutnost, absolutnost, akutnost, neakutnost	_^(*3í)
ytnost	ytný	_^(*3ý)			
avnost	avný	_^(*3ý)		pohlavnost, protiústavnost, ústavnost, neústavnost, obojpohlavnost, oboupohlavnost	_^(*3í)
ávnost	ávný	_^(*3ý)		právnost, protiprávnost, státoprávnost, veřejnoprávnost	_^(*3í)
evnost	evný	_^(*3ý)		duševnost	_^(*3í)
ěvnost	ěvní	_^(*3í)		zpěvnost, úsměvnost	_^(*3ý)
aivnost	aivní	_^(*3í)			
civnost	civní	_^(*3í)			
divnost	divný	_^(*3ý)			
livnost	llivný	_^(*3ý)			
sivnost	sivní	_^(*3í)			
tivnost	tivní	_^(*3í)		protivnost	_^(*3ý)
xivnost	xivní	_^(*3í)			
zivnost	zivní	_^(*3í)			
živnost	živný	_^(*3ý)			
ívnost	ívní	_^(*3í)			
ovnost	ovný	_^(*3ý)			
uvnost	uvný	_^(*3ý)		smluvnost	_^(*3í)
yvnost	yvný	_^(*3ý)			
xnost	xní	_^(*3í)			
aznost	azný	_^(*3ý)			
áznost	ázný	_^(*3ý)			
eznost	ezný	_^(*3ý)			
éznost	ézní	_^(*3í)			
iznost	izní	_^(*3í)			
íznost	ízní	_^(*3í)		říznost	_^(*3ý)
oznost	ozný	_^(*3ý)			
